Medical Center Dr & Key West Ave,315,15
Medical Center Metro ,383,19
Metro Center / 12th & G St NW,103,39
Minnesota Ave Metro/DOES,37,15
Mississippi Ave & 19th St SE / THEARC,494,19
Monroe Ave & Leslie Ave,342,15
Monroe St & Monroe Pl,278,15
Montgomery & East Ln,270,11
Montgomery Ave & Waverly St ,260,11
Montgomery College/W Campus Dr & Mannakee St,284,21
Mount Vernon Ave & Bruce St,414,15
Mount Vernon Ave & E Del Ray Ave,341,15
Mount Vernon Ave & E Nelson Ave,340,11
Mount Vernon Ave & Four Mile Run Park,412,15
Mount Vernon Ave & Kennedy St,343,15
N Lynn St & Fairfax Dr,448,15
N Pershing Dr & Wayne St,245,11
N Quincy St & Glebe Rd,156,11
N Randolph St & Fairfax Dr,177,11
N Rhodes & 16th St N,131,11
N Veitch  & 20th St N,158,15
N Veitch & Key Blvd,172,11
Nannie Helen Burroughs & Minnesota Ave NE,38,11
Nannie Helen Burroughs Ave & 49th St NE,303,11
Neal St & Trinidad Ave NE,241,15
Nebraska Ave/AU East Campus,487,19
Needwood Rd & Eagles Head Ct,279,15
New Dominion Pkwy & Fountain Dr,436,15
New Hampshire & Kirklynn Ave,461,15
New Hampshire Ave & 24th St NW,336,19
New Hampshire Ave & T St NW,102,23
New Jersey Ave & L St NW,413,23
New Jersey Ave & N St NW/Dunbar HS,302,19
New Jersey Ave & R St NW,232,15
New York Ave & 15th St NW,83,19
New York Ave & Hecht Ave NE,375,23
Norfolk & Rugby Ave,289,11
Norfolk Ave & Fairmont St,263,11
North Capitol St & F St NW,114,23
North Capitol St & G Pl NE,310,19
North Shore & Cameron Crescent Dr/Crescent Apartments,433,11
North Shore Dr & Village Rd,467,11
Offutt Ln & Chevy Chase Dr,290,11
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,124,31
Oklahoma Ave & D St NE,373,19
Old Georgetown Rd & Southwick St,308,19
Park Rd & Holmead Pl NW,33,19
Pennsylvania & Minnesota Ave SE,67,11
Pentagon City Metro / 12th & S Hayes St,6,19
Pershing & N George Mason Dr,257,11
Philadelphia & Maple Ave,267,15
Piccard & W Gude Dr,294,19
Pleasant St & MLK Ave SE,240,11
Pooks Hill Rd & Linden Ave,459,15
Potomac & M St NW,473,19
Potomac & Pennsylvania Ave SE,57,15
Potomac & Swann Ave,417,19
Potomac Ave & 35th St S,118,23
Potomac Ave & 8th St SE,275,15
Potomac Ave & Main Line Blvd,398,19
Potomac Greens Dr & Slaters Ln,338,11
Powhatan St & Bashford Ln,416,15
Prince St & Union St,189,19
Radford & Osage St,403,23
Randle Circle & Minnesota Ave SE,36,11
